round,average weight differences,train losses,test losses,test accuracies,average AUCs,Kappas
1,0,0.5407601644945681,2.6619326187546846,0.1026,0.5014444444444444,0.0028888888888888944
2,0,0.05737642462700023,3.5026012605922237,0.1,0.5,0.0
3,0,0.0585260987048241,2.6992617109019283,0.1002,0.5001111111111111,0.00022222222222222858
4,0,0.03987320749394713,4.031835366206564,0.1,0.5,0.0
5,0,0.05217609416540654,3.823721507552323,0.1004,0.5002222222222222,0.00044444444444444176
6,0,0.05893729603023531,3.0628816018438645,0.1,0.5,0.0
7,0,0.043099290825121,2.940281195245731,0.1006,0.5003333333333334,0.0006666666666666549
8,0,0.0395569170451563,3.0186137439339022,0.0996,0.49977777777777777,-0.00044444444444444176
9,0,0.040391742530991905,2.8405511318498355,0.1,0.5,1.5419764230904953e-17
10,0,0.0357123902710191,3.4589478650670142,0.1,0.5,0.0
11,0,0.050631517351571356,2.6972513791102513,0.1026,0.5014444444444445,0.0028888888888888944
12,0,0.03488265193302141,3.512641530128042,0.1018,0.501,0.002000000000000011
13,0,0.053697604421286085,3.1838024998926056,0.1,0.5,0.0
14,0,0.040169246218829356,3.1175686280438852,0.1,0.5,0.0
15,0,0.040452506936526335,3.0621932145136936,0.1133,0.5073888888888889,0.014777777777777784
16,0,0.03926740563441854,2.738203458725267,0.1,0.5,1.5419764230904953e-17
17,0,0.03339945313288354,2.607050795463999,0.1,0.5,0.0
18,0,0.029489851093367176,3.3183068242042686,0.1,0.5,0.0
19,0,0.04624394384056359,3.480750589613702,0.1,0.5,0.0
20,0,0.040461517549520064,3.9043018954574684,0.1,0.5,0.0
21,0,0.042753069027603494,3.3103269300643046,0.1,0.5,0.0
22,0,0.0402890081823898,3.077032031526991,0.1048,0.5026666666666667,0.005333333333333331
23,0,0.04012690736827608,2.6559003735803497,0.1,0.5,0.0
24,0,0.03771158991547054,3.022312856783533,0.1,0.5,0.0
25,0,0.030158114051300793,2.734572068900819,0.1,0.5,0.0
26,0,0.03332617834784969,2.765720233795749,0.0997,0.4998333333333333,-0.00033333333333332747
27,0,0.03636262528278166,2.8668703713994117,0.1005,0.5002777777777777,0.000555555555555556
28,0,0.040976679864265855,2.9665458551637687,0.1006,0.5003333333333334,0.0006666666666666703
29,0,0.04880651523115376,3.1657324429530247,0.1,0.5,0.0
30,0,0.035935729834941414,3.0619641519655847,0.1,0.5,0.0
31,0,0.04094908159920123,3.184545803981222,0.1,0.5,0.0
32,0,0.04600122929532517,3.0564957682494147,0.1308,0.5171111111111111,0.034222222222222216
33,0,0.03587109104602859,2.89368317689106,0.1218,0.5121111111111112,0.02422222222222222
34,0,0.04070245238006464,2.4621738688960955,0.1,0.5,0.0
35,0,0.03253132931358778,3.0428752595451987,0.1,0.5,0.0
36,0,0.04216098982804396,3.123810614749884,0.1,0.5,0.0
37,0,0.04656709558988951,2.9532871610799414,0.1131,0.5072777777777778,0.014555555555555572
38,0,0.043044796653957745,2.458896105456504,0.1014,0.5007777777777778,0.0015555555555555537
39,0,0.03492976281879236,3.1455323195001883,0.1128,0.5071111111111112,0.014222222222222212
40,0,0.04607963105539965,2.989999298836775,0.1,0.5,0.0
41,0,0.042819892125407925,3.2270219553807737,0.1012,0.5006666666666667,0.0013333333333333407
42,0,0.03827255387062904,2.823838177759936,0.1003,0.5001666666666666,0.00033333333333332747
43,0,0.03901548120429652,3.119409324257237,0.1,0.5,0.0
44,0,0.028805362384118783,3.497012955367945,0.0996,0.49977777777777777,-0.00044444444444445715
45,0,0.043726039396606214,3.162801349238985,0.1224,0.5124444444444445,0.024888888888888877
46,0,0.041611877957275285,2.788810556861246,0.1098,0.5054444444444444,0.010888888888888877
47,0,0.027313461500307314,3.6932179669665683,0.1,0.5,0.0
48,0,0.051441764659221,3.064973047584485,0.1,0.5,0.0
49,0,0.034524060358817235,2.7155437272065766,0.1,0.5,0.0
50,0,0.0356629451261415,3.3296868421469523,0.1,0.5,0.0
51,0,0.03431616515805218,3.2582404461635908,0.1,0.5,0.0
